Season,Day,Month,Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
Winter,Friday,January,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,17,17,19,19,6,6,6,6,6,6,6,6,6,6,17,17,10,10,6,6,6,6,10,10,17,17
Winter,Saturday,January,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,14,14,10,10,6,6,6,6,6,6,13.1,13.1,6,6,3,3,6,6,22,22,18,18,7,7,12,12,9,9,12,12
Winter,Sunday,January,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,16,16,3,3,3,3,11,11,11,11,11,11,16,16,17,17,13,13,10,10,17,17,7,7,13.1,13.1,19,19
Winter,Monday,January,4,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,14,14,17,17,14,14,10,10,17,17,20,20,10,10,19,19,6,6,13,13,10,10,12,12,10,10,10,10,6,6
Winter,Tuesday,January,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,22,22,10,10,6,6,17,17,6,6,6,6,6,6,6,6,18,18,10,10,19,19,17,17,8,8,19,19
Winter,Wednesday,January,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,16,16,16,16,20,20,24,24,24,24,14,14,7,7,12,12,10,10,17,17,12,12,10,10,10,10
Winter,Thursday,January,7,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,22,22,17,17,14,14,6,6,17,17,6,6,17,17,6,6,13,13,10,10,6,6,10,10,12,12,10,10
Winter,Friday,January,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,6,14,14,10,10,15,15,15,15,6,6,6,6,13,13,6,6,10,10,12,12,15,15,7,7,15,15
Winter,Saturday,January,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,13,14,17,17,10,10,17,17,13.1,13.1,6,6,6,6,6,6,6,6,6,6,17,17,9,9,12,12,12,12
Winter,Sunday,January,10,12,12,15,15,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,16,16,3,3,3,3,19,19,18,18,20,20,17,17,6,6,6,6,14,14,14,14,10,10,12,12,17,17
Winter,Monday,January,11,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,17,17,14,14,14,14,20,20,17,17,20,20,15,15,17,17,6,6,10,10,6,6,10,10,12,12,6,6
Winter,Tuesday,January,12,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,14,14,19,19,10,10,20,20,17,17,10,10,15,15,15,15,6,6,24,24,17,17,10,10,6,6,6,6
Winter,Wednesday,January,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,22,22,14,14,17,17,10,10,13.1,13.1,6,6,6,6,6,6,17,17,10,10,6,6,10,10,6,6,6,6
